"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 00:00","2018","03","01","00:00","1.9","","-1.9","","76","","0.0","","4","","9","","16.1","","95.28","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 01:00","2018","03","01","01:00","1.6","","-2.1","","77","","0.0","","33","","17","","16.1","","95.26","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 02:00","2018","03","01","02:00","1.3","","-1.5","","82","","0.0","","17","","5","","16.1","","95.25","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 03:00","2018","03","01","03:00","1.0","","-1.5","","84","","0.0","","","M","4","","16.1","","95.24","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 04:00","2018","03","01","04:00","1.2","","-0.5","","88","","0.0","","","","0","","16.1","","95.26","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 05:00","2018","03","01","05:00","0.5","","-1.0","","90","","0.0","","34","","9","","16.1","","95.26","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 06:00","2018","03","01","06:00","0.7","","-1.1","","88","","0.0","","36","","15","","16.1","","95.23","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 07:00","2018","03","01","07:00","1.6","","-1.6","","79","","0.0","","1","","11","","16.1","","95.21","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 08:00","2018","03","01","08:00","1.8","","-1.0","","82","","0.0","","22","","13","","16.1","","95.31","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 09:00","2018","03","01","09:00","1.1","","-0.7","","88","","0.0","","","M","4","","16.1","","95.32","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 10:00","2018","03","01","10:00","2.1","","-0.2","","85","","0.0","","1","","11","","16.1","","95.29","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 11:00","2018","03","01","11:00","2.6","","-0.7","","79","","0.0","","35","","30","","16.1","","95.27","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 12:00","2018","03","01","12:00","3.2","","-0.5","","77","","0.0","","35","","21","","16.1","","95.26","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 13:00","2018","03","01","13:00","3.0","","-0.3","","79","","0.0","","34","","30","","16.1","","95.24","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 14:00","2018","03","01","14:00","2.6","","0.2","","84","","0.0","","35","","22","","16.1","","95.16","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 15:00","2018","03","01","15:00","3.3","","0.4","","81","","0.0","","36","","21","","16.1","","95.13","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 16:00","2018","03","01","16:00","3.5","","0.3","","80","","0.0","","1","","17","","16.1","","95.05","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 17:00","2018","03","01","17:00","3.4","","0.3","","80","","0.0","","","M","5","","14.5","","95.11","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 18:00","2018","03","01","18:00","2.8","","0.4","","84","","0.0","","36","","5","","12.9","","95.09","","","","","","Rain"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 19:00","2018","03","01","19:00","2.6","","0.2","","84","","0.0","","36","","5","","12.9","","95.09","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 20:00","2018","03","01","20:00","1.4","","0.5","","94","","0.0","","36","","4","","11.3","","95.06","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 21:00","2018","03","01","21:00","2.3","","0.7","","89","","0.0","","36","","11","","11.3","","95.02","","","","","","Rain"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 22:00","2018","03","01","22:00","2.6","","0.5","","86","","0.0","","36","","9","","12.9","","95.00","","","","","","Rain"
"-119.38","49.96","KELOWNA","1123939","2018-03-01 23:00","2018","03","01","23:00","2.0","","0.6","","90","","0.0","","1","","17","","11.3","","94.93","","","","","","Rain"
