"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 00:00","2013","03","01","00:00","3.5","","2.0","","90","","","","16","","5","","16.1","","97.18","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 01:00","2013","03","01","01:00","4.5","","2.5","","87","","","","20","","9","","16.1","","97.17","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 02:00","2013","03","01","02:00"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 03:00","2013","03","01","03:00","4.6","","2.6","","87","","","","22","","8","","16.1","","","M","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 04:00","2013","03","01","04:00","5.0","","2.7","","85","","","","","M","4","","16.1","","97.16","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 05:00","2013","03","01","05:00","4.8","","3.0","","88","","","","15","","8","","16.1","","97.15","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 06:00","2013","03","01","06:00","4.7","","3.4","","91","","","","","M","4","","16.1","","97.15","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 07:00","2013","03","01","07:00","5.6","","3.5","","86","","","","15","","8","","16.1","","97.16","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 08:00","2013","03","01","08:00","6.3","","3.8","","84","","","","14","","9","","16.1","","97.14","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 09:00","2013","03","01","09:00","6.9","","4.2","","83","","","","16","","11","","16.1","","97.09","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 10:00","2013","03","01","10:00","7.8","","4.0","","77","","","","17","","11","","16.1","","97.11","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 11:00","2013","03","01","11:00","9.3","","4.6","","73","","","","17","","15","","16.1","","97.12","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 12:00","2013","03","01","12:00","10.1","","4.6","","69","","","","16","","5","","16.1","","97.07","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 13:00","2013","03","01","13:00","11.6","","4.9","","63","","","","20","","9","","16.1","","97.05","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 14:00","2013","03","01","14:00","12.0","","4.8","","61","","","","15","","9","","16.1","","","M","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 15:00","2013","03","01","15:00","12.6","","4.4","","57","","","","21","","8","","16.1","","96.98","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 16:00","2013","03","01","16:00","12.1","","4.8","","61","","","","19","","24","","16.1","","96.96","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 17:00","2013","03","01","17:00","10.8","","4.7","","66","","","","14","","15","","16.1","","96.96","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 18:00","2013","03","01","18:00","10.2","","4.4","","67","","","","9","","8","","16.1","","97.00","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 19:00","2013","03","01","19:00","8.9","","4.5","","74","","","","19","","5","","16.1","","96.96","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 20:00","2013","03","01","20:00","8.9","","4.5","","74","","","","18","","9","","16.1","","97.01","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 21:00","2013","03","01","21:00","7.6","","4.6","","81","","","","5","","5","","16.1","","97.06","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 22:00","2013","03","01","22:00","7.1","","4.9","","86","","","","","M","4","","16.1","","97.05","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-01 23:00","2013","03","01","23:00","6.8","","5.1","","89","","","","","","0","","16.1","","97.05","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 00:00","2013","03","02","00:00","6.2","","4.9","","91","","","","35","","5","","16.1","","97.03","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 01:00","2013","03","02","01:00","5.9","","4.7","","92","","","","2","","5","","16.1","","97.03","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 02:00","2013","03","02","02:00","5.5","","4.5","","93","","","","","","0","","16.1","","97.01","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 03:00","2013","03","02","03:00","5.3","","4.0","","91","","","","","","0","","16.1","","96.96","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 04:00","2013","03","02","04:00","5.0","","4.1","","94","","","","","M","4","","16.1","","96.89","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 05:00","2013","03","02","05:00","4.3","","3.4","","94","","","","1","","5","","16.1","","96.86","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 06:00","2013","03","02","06:00","4.8","","3.6","","92","","","","","","0","","16.1","","96.82","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 07:00","2013","03","02","07:00","4.8","","3.7","","93","","","","7","","5","","16.1","","96.78","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 08:00","2013","03","02","08:00","5.9","","4.6","","91","","","","20","","5","","16.1","","96.76","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 09:00","2013","03","02","09:00","8.0","","4.1","","76","","","","16","","8","","16.1","","96.74","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 10:00","2013","03","02","10:00","8.7","","4.3","","74","","","","18","","11","","16.1","","96.65","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 11:00","2013","03","02","11:00","9.7","","3.5","","65","","","","15","","9","","16.1","","96.56","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 12:00","2013","03","02","12:00","11.6","","3.3","","57","","","","20","","13","","16.1","","96.43","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 13:00","2013","03","02","13:00","12.2","","2.4","","51","","","","19","","15","","16.1","","96.31","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 14:00","2013","03","02","14:00","12.6","","2.1","","49","","","","16","","11","","16.1","","96.19","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 15:00","2013","03","02","15:00","13.0","","1.9","","47","","","","24","","15","","16.1","","96.04","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 16:00","2013","03","02","16:00","13.1","","2.1","","47","","","","21","","13","","16.1","","95.88","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 17:00","2013","03","02","17:00","12.2","","1.7","","48","","","","","M","4","","16.1","","95.79","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 18:00","2013","03","02","18:00","10.2","","2.2","","57","","","","","","0","","16.1","","95.80","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 19:00","2013","03","02","19:00","9.3","","2.3","","62","","","","18","","22","","16.1","","96.00","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 20:00","2013","03","02","20:00","8.6","","0.1","","55","","","","15","","17","","16.1","","96.02","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 21:00","2013","03","02","21:00","8.2","","-1.7","","50","","","","18","","15","","16.1","","96.02","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 22:00","2013","03","02","22:00","7.4","","-3.5","","46","","","","20","","26","","16.1","","96.04","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-02 23:00","2013","03","02","23:00","7.2","","-4.2","","44","","","","23","","22","","16.1","","96.10","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-03 00:00","2013","03","03","00:00","5.4","","-1.3","","62","","","","31","","13","","16.1","","96.21","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-03 01:00","2013","03","03","01:00","4.9","","-1.6","","63","","","","24","","8","","16.1","","96.21","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-03 02:00","2013","03","03","02:00","3.6","","-0.3","","76","","","","20","","17","","16.1","","96.28","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-03 03:00","2013","03","03","03:00","3.5","","-0.9","","73","","","","15","","8","","16.1","","96.32","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-03 04:00","2013","03","03","04:00","3.7","","-2.7","","63","","","","30","","9","","16.1","","96.36","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-03 05:00","2013","03","03","05:00","3.6","","-3.1","","62","","","","","M","4","","16.1","","96.43","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2013-03-03 06:00","2013","03","03","06:00","4.4","","-7.5","","42","","","","26","","5","","16.1","","96.50","","","","","","NA"
