"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 00:00","2012","08","01","00:00","16.1","","9.9","","66","","","","","M","4","","16.1","","96.68","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 01:00","2012","08","01","01:00","14.5","","8.1","","65","","","","","","0","","16.1","","96.70","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 02:00","2012","08","01","02:00","15.2","","7.9","","61","","","","21","","8","","16.1","","96.73","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 03:00","2012","08","01","03:00","12.0","","7.8","","75","","","","","","0","","16.1","","96.74","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 04:00","2012","08","01","04:00","12.0","","7.6","","74","","","","","M","4","","16.1","","96.76","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 05:00","2012","08","01","05:00","10.8","","7.5","","80","","","","","","0","","16.1","","96.80","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 06:00","2012","08","01","06:00","13.3","","8.7","","73","","","","","","0","","16.1","","96.82","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 07:00","2012","08","01","07:00","18.0","","8.4","","53","","","","","","0","","16.1","","96.84","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 08:00","2012","08","01","08:00","20.6","","8.5","","45","","","","19","","9","","16.1","","96.83","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 09:00","2012","08","01","09:00","22.6","","7.3","","37","","","","21","","9","","16.1","","96.78","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 10:00","2012","08","01","10:00","23.4","","7.8","","36","","","","21","","8","","16.1","","96.71","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 11:00","2012","08","01","11:00","24.7","","6.8","","31","","","","15","","9","","16.1","","96.65","","25","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 12:00","2012","08","01","12:00","25.6","","7.2","","31","","","","17","","9","","16.1","","96.61","","26","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 13:00","2012","08","01","13:00","27.5","","7.5","","28","","","","17","","15","","9.7","","96.54","","28","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 14:00","2012","08","01","14:00","28.0","","8.1","","28","","","","17","","11","","16.1","","96.47","","28","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 15:00","2012","08","01","15:00","30.2","","5.2","","20","","","","19","","9","","16.1","","96.41","","30","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 16:00","2012","08","01","16:00","29.5","","4.7","","20","","","","20","","26","","16.1","","96.36","","29","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 17:00","2012","08","01","17:00","29.1","","4.7","","21","","","","23","","13","","16.1","","96.35","","28","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 18:00","2012","08","01","18:00","26.3","","5.4","","26","","","","20","","22","","16.1","","96.38","","26","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 19:00","2012","08","01","19:00","24.6","","6.4","","31","","","","18","","11","","16.1","","96.41","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 20:00","2012","08","01","20:00","23.7","","6.2","","32","","","","21","","18","","16.1","","96.49","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 21:00","2012","08","01","21:00","22.7","","6.3","","34","","","","19","","15","","16.1","","96.54","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-08-01 22:00","2012","08","01","22:00","21.5","","6.9","","39","","","","13","","15","","16.1","","96.56","","","","","","NA"
