"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 00:00","2019","04","01","00:00","1.7","","-0.8","","84","","0.0","","36","","8","","16.1","","97.12","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 01:00","2019","04","01","01:00","0.9","","-1.1","","87","","0.0","","1","","11","","16.1","","97.12","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 02:00","2019","04","01","02:00","0.7","","-1.4","","86","","0.0","","36","","8","","16.1","","97.13","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 03:00","2019","04","01","03:00","-0.2","","-2.2","","87","","0.0","","","","0","","16.1","","97.16","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 04:00","2019","04","01","04:00","-1.0","","-1.8","","94","","0.0","","35","","8","","16.1","","97.16","","","","-4","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 05:00","2019","04","01","05:00","-1.4","","-2.3","","94","","0.0","","1","","8","","16.1","","97.19","","","","-4","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 06:00","2019","04","01","06:00","-0.7","","-1.9","","92","","0.0","","4","","4","","16.1","","97.21","","","","-2","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 07:00","2019","04","01","07:00","1.5","","-0.1","","89","","0.0","","3","","8","","16.1","","97.21","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 08:00","2019","04","01","08:00","5.5","","1.2","","74","","0.0","","35","","9","","16.1","","97.19","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 09:00","2019","04","01","09:00","7.5","","1.0","","63","","0.0","","36","","13","","16.1","","97.15","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 10:00","2019","04","01","10:00","9.2","","1.1","","57","","0.0","","","","0","","16.1","","97.10","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 11:00","2019","04","01","11:00","10.9","","1.4","","52","","0.0","","35","","24","","16.1","","97.03","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 12:00","2019","04","01","12:00","12.5","","1.4","","46","","0.0","","35","","9","","16.1","","96.95","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 13:00","2019","04","01","13:00","14.2","","0.4","","39","","0.0","","34","","5","","16.1","","96.84","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 14:00","2019","04","01","14:00","15.8","","-0.9","","32","","0.0","","20","","5","","16.1","","96.74","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 15:00","2019","04","01","15:00","16.4","","-3.9","","24","","0.0","","32","","11","","16.1","","96.66","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 16:00","2019","04","01","16:00","16.2","","-4.2","","24","","0.0","","29","","15","","16.1","","96.61","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 17:00","2019","04","01","17:00","15.6","","-2.2","","29","","0.0","","32","","15","","16.1","","96.55","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 18:00","2019","04","01","18:00","12.4","","-0.1","","42","","0.0","","34","","15","","16.1","","96.54","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 19:00","2019","04","01","19:00","8.7","","-0.5","","52","","0.0","","1","","8","","16.1","","96.54","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 20:00","2019","04","01","20:00","7.1","","-1.4","","55","","0.0","","1","","4","","16.1","","96.57","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 21:00","2019","04","01","21:00","3.9","","-2.2","","65","","0.0","","","M","4","","16.1","","96.58","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 22:00","2019","04","01","22:00","2.4","","-2.2","","72","","0.0","","36","","5","","16.1","","96.60","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-04-01 23:00","2019","04","01","23:00","1.9","","-2.7","","72","","0.0","","3","","8","","16.1","","96.60","","","","","","NA"
