"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 00:00","2017","03","01","00:00","0.2","","-6.3","","62","","0.0","","17","","8","","16.1","","96.52","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 01:00","2017","03","01","01:00","-0.1","","-6.5","","62","","0.0","","19","","9","","16.1","","96.55","","","","-3","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 02:00","2017","03","01","02:00","-0.8","","-5.2","","72","","0.0","","16","","5","","16.1","","96.54","","","","-2","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 03:00","2017","03","01","03:00","-0.8","","-5.2","","72","","0.0","","17","","5","","16.1","","96.54","","","","-2","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 04:00","2017","03","01","04:00","-0.3","","-5.3","","69","","0.0","","15","","13","","16.1","","96.59","","","","-4","","Snow"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 05:00","2017","03","01","05:00","-0.4","","-4.6","","73","","0.0","","17","","15","","16.1","","96.64","","","","-5","","Snow"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 06:00","2017","03","01","06:00","-0.6","","-3.5","","81","","0.0","","15","","11","","11.3","","96.72","","","","-4","","Snow"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 07:00","2017","03","01","07:00","-0.5","","-3.7","","79","","0.0","","11","","11","","16.1","","96.79","","","","-4","","Snow"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 08:00","2017","03","01","08:00","0.2","","-3.5","","76","","0.0","","16","","13","","16.1","","96.87","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 09:00","2017","03","01","09:00","0.5","","-2.8","","79","","0.0","","6","","5","","8.1","","97.00","","","","","","Snow"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 10:00","2017","03","01","10:00","-0.1","","-1.5","","90","","0.0","","34","","13","","6.4","","97.13","","","","-4","","Snow"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 11:00","2017","03","01","11:00","0.4","","-1.8","","85","","0.0","","35","","9","","16.1","","97.21","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 12:00","2017","03","01","12:00","-0.2","","-0.6","","97","","0.2","","19","","4","","1.6","","97.31","","","","-1","","Snow"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 13:00","2017","03","01","13:00","0.2","","-0.4","","96","","0.5","","","M","4","","1.6","","97.32","","","","","","Snow"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 14:00","2017","03","01","14:00","0.7","","-0.3","","93","","0.2","","10","","5","","16.1","","97.34","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 15:00","2017","03","01","15:00","1.0","","-0.2","","92","","0.0","","33","","8","","16.1","","97.39","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 16:00","2017","03","01","16:00","1.2","","-0.7","","87","","0.0","","35","","11","","16.1","","97.45","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 17:00","2017","03","01","17:00","1.1","","-0.8","","87","","0.0","","3","","5","","16.1","","97.50","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 18:00","2017","03","01","18:00","0.4","","-1.4","","88","","0.0","","34","","9","","16.1","","97.48","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 19:00","2017","03","01","19:00","-0.1","","-1.2","","93","","0.0","","34","","4","","16.1","","97.52","","","","-1","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 20:00","2017","03","01","20:00","-1.2","","-1.8","","96","","0.0","","1","","8","","16.1","","97.51","","","","-4","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 21:00","2017","03","01","21:00","-0.6","","-1.5","","94","","0.0","","34","","9","","16.1","","97.55","","","","-4","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 22:00","2017","03","01","22:00","0.0","","-1.0","","93","","0.0","","","M","9","","16.1","","97.60","","","","-3","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-01 23:00","2017","03","01","23:00","0.3","","-0.7","","93","","0.0","","2","","9","","16.1","","97.60","","","","","","Rain"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 00:00","2017","03","02","00:00","-0.3","","-1.2","","94","","0.0","","4","","8","","14.5","","97.57","","","","-3","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 01:00","2017","03","02","01:00","-0.6","","-1.2","","96","","0.0","","31","","5","","11.3","","97.55","","","","-2","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 02:00","2017","03","02","02:00","-1.0","","-1.3","","98","","0.0","","9","","5","","8.1","","97.53","","","","-3","","Fog"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 03:00","2017","03","02","03:00","-2.4","","-2.7","","98","","0.0","","32","","8","","8.1","","97.48","","","","-6","","Fog"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 04:00","2017","03","02","04:00","-2.0","","-2.2","","99","","0.0","","","","0","","6.4","","97.46","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 05:00","2017","03","02","05:00","-1.6","","-2.0","","97","","0.0","","","M","4","","11.3","","97.42","","","","-3","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 06:00","2017","03","02","06:00","-1.5","","-1.9","","97","","0.0","","35","","5","","9.7","","97.40","","","","-3","","Fog"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 07:00","2017","03","02","07:00","-0.8","","-1.2","","97","","0.0","","8","","8","","8.1","","97.40","","","","-4","","Snow"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 08:00","2017","03","02","08:00","-0.4","","-1.0","","96","","0.0","","","M","4","","4.8","","97.33","","","","-2","","Snow"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 09:00","2017","03","02","09:00","0.3","","-0.4","","95","","0.0","","20","","8","","6.4","","97.29","","","","","","Rain,Fog"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 10:00","2017","03","02","10:00","0.3","","-0.6","","94","","0.0","","","","0","","6.4","","97.21","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 11:00","2017","03","02","11:00","0.5","","-0.4","","94","","0.0","","","","0","","8.1","","97.18","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 12:00","2017","03","02","12:00","1.0","","-0.2","","92","","0.0","","36","","13","","6.4","","97.09","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 13:00","2017","03","02","13:00","1.9","","0.0","","87","","0.0","","1","","11","","12.9","","97.02","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 14:00","2017","03","02","14:00","2.4","","0.1","","85","","0.0","","35","","8","","12.9","","96.92","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 15:00","2017","03","02","15:00","2.4","","0.1","","85","","0.0","","35","","5","","14.5","","96.87","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 16:00","2017","03","02","16:00","3.9","","0.1","","76","","0.0","","","","0","","16.1","","96.83","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 17:00","2017","03","02","17:00","4.5","","-0.3","","71","","0.0","","20","","5","","16.1","","96.76","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 18:00","2017","03","02","18:00","3.4","","-0.3","","77","","0.0","","","","0","","16.1","","96.68","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 19:00","2017","03","02","19:00","2.6","","-0.6","","80","","0.0","","","","0","","16.1","","96.67","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 20:00","2017","03","02","20:00","1.6","","-0.4","","87","","0.0","","","","0","","16.1","","96.65","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 21:00","2017","03","02","21:00","1.7","","-0.4","","86","","0.0","","","M","4","","16.1","","96.64","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 22:00","2017","03","02","22:00","2.1","","-0.6","","82","","0.0","","","","0","","16.1","","96.59","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-02 23:00","2017","03","02","23:00","3.6","","-0.8","","73","","0.0","","18","","5","","16.1","","96.59","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 00:00","2017","03","03","00:00","3.9","","-0.6","","72","","0.0","","13","","5","","16.1","","96.50","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 01:00","2017","03","03","01:00","3.2","","-0.6","","76","","0.0","","16","","5","","16.1","","96.45","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 02:00","2017","03","03","02:00","3.7","","-0.5","","74","","0.0","","16","","8","","16.1","","96.43","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 03:00","2017","03","03","03:00","2.6","","-0.9","","78","","0.0","","","M","4","","16.1","","96.33","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 04:00","2017","03","03","04:00","3.2","","-0.4","","77","","0.0","","18","","9","","16.1","","96.26","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 05:00","2017","03","03","05:00","3.8","","-0.2","","75","","0.0","","15","","13","","16.1","","96.20","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 06:00","2017","03","03","06:00","3.0","","-0.6","","78","","0.0","","","","0","","16.1","","96.16","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 07:00","2017","03","03","07:00","2.1","","-0.6","","82","","0.0","","","M","4","","16.1","","96.02","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 08:00","2017","03","03","08:00","4.1","","-0.2","","74","","0.0","","17","","8","","16.1","","96.00","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 09:00","2017","03","03","09:00","5.3","","0.1","","69","","0.0","","","M","5","","16.1","","95.91","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 10:00","2017","03","03","10:00","6.1","","0.2","","66","","0.0","","21","","22","","16.1","","95.85","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 11:00","2017","03","03","11:00","6.3","","0.0","","64","","0.0","","18","","9","","16.1","","95.78","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 12:00","2017","03","03","12:00","6.5","","0.2","","64","","0.0","","9","","8","","16.1","","95.68","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 13:00","2017","03","03","13:00","7.2","","0.0","","60","","0.0","","21","","5","","16.1","","95.55","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 14:00","2017","03","03","14:00","5.9","","0.4","","68","","0.0","","16","","5","","16.1","","95.48","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 15:00","2017","03","03","15:00","6.7","","0.6","","65","","0.0","","26","","8","","16.1","","95.38","","","","","","Rain"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 16:00","2017","03","03","16:00","5.8","","0.8","","70","","0.0","","9","","5","","16.1","","95.30","","","","","","Rain"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 17:00","2017","03","03","17:00","4.1","","1.5","","83","","0.0","","3","","5","","16.1","","95.20","","","","","","Rain"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 18:00","2017","03","03","18:00","3.1","","1.5","","89","","0.0","","3","","5","","16.1","","95.07","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 19:00","2017","03","03","19:00","3.5","","1.0","","84","","0.0","","36","","5","","16.1","","94.97","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 20:00","2017","03","03","20:00","2.1","","0.9","","91","","0.0","","33","","5","","16.1","","94.88","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 21:00","2017","03","03","21:00","4.1","","1.3","","82","","0.0","","5","","9","","16.1","","94.76","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 22:00","2017","03","03","22:00","4.3","","1.2","","80","","0.0","","8","","9","","16.1","","94.71","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-03 23:00","2017","03","03","23:00","5.9","","1.4","","73","","0.0","","","M","18","","16.1","","94.71","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-04 00:00","2017","03","04","00:00","2.1","","0.3","","88","","0.2","","16","","30","","16.1","","94.93","","","","","","Rain"
"-119.38","49.96","KELOWNA","1123939","2017-03-04 01:00","2017","03","04","01:00","1.7","","0.4","","91","","1.0","","","M","4","","16.1","","94.98","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-04 02:00","2017","03","04","02:00","1.8","","-1.5","","79","","0.0","","17","","11","","16.1","","95.05","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-04 03:00","2017","03","04","03:00","1.8","","-2.4","","74","","0.0","","24","","5","","16.1","","95.14","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-04 04:00","2017","03","04","04:00","1.4","","-3.7","","69","","0.0","","17","","11","","16.1","","95.21","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-04 05:00","2017","03","04","05:00","0.2","","-2.2","","84","","0.0","","","M","8","","16.1","","95.28","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-04 06:00","2017","03","04","06:00","0.0","","-2.5","","83","","0.0","","","M","4","","16.1","","95.30","","","","-1","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-04 07:00","2017","03","04","07:00","0.5","","-2.7","","79","","0.0","","20","","5","","16.1","","95.36","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-04 08:00","2017","03","04","08:00","1.3","","-2.1","","78","","0.0","","","","0","","16.1","","95.41","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-04 09:00","2017","03","04","09:00","2.4","","-3.2","","67","","0.0","","15","","8","","16.1","","95.46","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-04 10:00","2017","03","04","10:00","3.2","","-4.9","","55","","0.0","","16","","11","","16.1","","95.45","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-04 11:00","2017","03","04","11:00","4.0","","-6.2","","47","","0.0","","","M","8","","16.1","","95.42","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-04 12:00","2017","03","04","12:00","4.6","","-6.3","","45","","0.0","","17","","11","","16.1","","95.36","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2017-03-04 13:00","2017","03","04","13:00","5.1","","-9.1","","35","","0.0","","16","","13","","16.1","","95.29","","","","","","NA"
