"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 00:00","2018","12","01","00:00","3.1","","2.8","","98","","0.0","","2","","8","","16.1","","95.88","","","","","","Rain"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 01:00","2018","12","01","01:00","2.9","","2.8","","99","","0.0","","1","","8","","16.1","","95.89","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 02:00","2018","12","01","02:00","3.1","","2.7","","97","","0.0","","1","","8","","16.1","","95.93","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 03:00","2018","12","01","03:00","2.8","","2.4","","97","","0.0","","33","","9","","16.1","","95.93","","","","","","Rain"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 04:00","2018","12","01","04:00","2.3","","1.9","","97","","0.0","","35","","15","","16.1","","95.94","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 05:00","2018","12","01","05:00","2.3","","2.0","","98","","0.0","","1","","9","","16.1","","95.94","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 06:00","2018","12","01","06:00","2.3","","1.9","","97","","0.0","","","","0","","16.1","","95.98","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 07:00","2018","12","01","07:00","2.6","","2.2","","97","","0.0","","36","","9","","16.1","","96.00","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 08:00","2018","12","01","08:00","2.3","","1.9","","97","","0.0","","1","","11","","16.1","","96.02","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 09:00","2018","12","01","09:00","2.6","","2.0","","96","","0.0","","","M","4","","16.1","","96.06","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 10:00","2018","12","01","10:00","3.3","","2.4","","94","","0.0","","1","","9","","16.1","","96.10","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 11:00","2018","12","01","11:00","3.9","","2.6","","91","","0.0","","35","","13","","16.1","","96.10","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 12:00","2018","12","01","12:00","4.3","","2.5","","88","","0.0","","35","","11","","16.1","","96.10","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 13:00","2018","12","01","13:00","4.6","","2.0","","83","","0.0","","34","","15","","16.1","","96.09","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 14:00","2018","12","01","14:00","4.5","","2.1","","84","","0.0","","34","","28","","16.1","","96.11","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 15:00","2018","12","01","15:00","4.2","","1.9","","85","","0.0","","5","","5","","16.1","","96.15","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 16:00","2018","12","01","16:00","3.6","","1.8","","88","","0.0","","2","","4","","16.1","","96.17","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 17:00","2018","12","01","17:00","3.6","","2.0","","89","","0.0","","36","","8","","16.1","","96.21","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 18:00","2018","12","01","18:00","3.7","","1.7","","87","","0.0","","1","","11","","16.1","","96.24","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 19:00","2018","12","01","19:00","3.4","","1.6","","88","","0.0","","1","","5","","16.1","","96.28","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 20:00","2018","12","01","20:00","3.1","","1.6","","90","","0.0","","","","0","","16.1","","96.33","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 21:00","2018","12","01","21:00","2.7","","1.6","","92","","0.0","","35","","5","","16.1","","96.37","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 22:00","2018","12","01","22:00","2.9","","1.6","","91","","0.0","","34","","5","","16.1","","96.41","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-01 23:00","2018","12","01","23:00","2.4","","1.5","","94","","0.0","","","","0","","16.1","","96.45","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-02 00:00","2018","12","02","00:00","2.5","","1.4","","93","","0.0","","18","","4","","16.1","","96.48","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-02 01:00","2018","12","02","01:00","1.8","","1.2","","96","","0.0","","","","0","","16.1","","96.49","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-02 02:00","2018","12","02","02:00","1.8","","0.9","","94","","0.0","","","","0","","16.1","","96.54","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-02 03:00","2018","12","02","03:00","1.3","","1.0","","98","","0.0","","","","0","","16.1","","96.57","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-02 04:00","2018","12","02","04:00","1.3","","1.0","","98","","0.0","","36","","4","","16.1","","96.60","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-02 05:00","2018","12","02","05:00","0.9","","0.5","","97","","0.0","","","","0","","16.1","","96.64","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-02 06:00","2018","12","02","06:00","0.8","","0.8","","100","","0.0","","1","","5","","16.1","","96.68","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-02 07:00","2018","12","02","07:00","1.0","","1.0","","100","","0.0","","2","","5","","16.1","","96.72","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-02 08:00","2018","12","02","08:00","1.5","","1.1","","97","","0.0","","","M","4","","16.1","","96.76","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-02 09:00","2018","12","02","09:00","2.0","","1.4","","96","","0.0","","","M","4","","16.1","","96.84","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-02 10:00","2018","12","02","10:00","2.4","","1.5","","94","","0.0","","","","0","","16.1","","96.89","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-02 11:00","2018","12","02","11:00","2.9","","1.7","","92","","0.0","","","","0","","16.1","","96.92","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-02 12:00","2018","12","02","12:00","2.8","","2.2","","96","","0.0","","19","","4","","16.1","","96.94","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2018-12-02 13:00","2018","12","02","13:00","3.0","","1.5","","90","","0.0","","18","","4","","16.1","","96.98","","","","","","NA"
