"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 00:00","2016","02","01","00:00","-0.2","","-0.6","","97","","0.0","","","","0","","4.0","","96.64","","","","","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 01:00","2016","02","01","01:00","0.0","","-0.3","","98","","0.0","","11","","5","","1.6","","96.65","","","","-2","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 02:00","2016","02","01","02:00","0.2","","-0.7","","94","","0.0","","12","","8","","16.1","","96.68","","","","","","Rain"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 03:00","2016","02","01","03:00","0.4","","-0.7","","93","","0.0","","13","","8","","16.1","","96.69","","","","","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 04:00","2016","02","01","04:00","0.0","","-1.0","","93","","0.0","","15","","5","","16.1","","96.68","","","","-2","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 05:00","2016","02","01","05:00","0.0","","-0.9","","94","","0.0","","","M","4","","16.1","","96.72","","","","-1","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 06:00","2016","02","01","06:00","-0.2","","-1.1","","94","","0.0","","20","","8","","16.1","","96.73","","","","-3","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 07:00","2016","02","01","07:00","0.0","","-1.1","","92","","0.0","","17","","4","","16.1","","96.77","","","","-1","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 08:00","2016","02","01","08:00","0.1","","-0.9","","93","","0.0","","19","","11","","16.1","","96.78","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 09:00","2016","02","01","09:00","0.1","","-0.8","","94","","0.0","","17","","8","","4.0","","96.79","","","","","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 10:00","2016","02","01","10:00","-0.1","","-0.7","","96","","0.0","","18","","11","","12.9","","96.79","","","","-4","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 11:00","2016","02","01","11:00","0.2","","-0.5","","95","","0.0","","18","","9","","14.5","","96.79","","","","","","Rain"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 12:00","2016","02","01","12:00","0.5","","-0.8","","91","","0.0","","16","","8","","16.1","","96.77","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 13:00","2016","02","01","13:00","0.9","","-1.2","","86","","0.0","","15","","8","","16.1","","96.77","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 14:00","2016","02","01","14:00","0.7","","-1.2","","87","","0.0","","19","","9","","16.1","","96.78","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 15:00","2016","02","01","15:00","0.2","","-0.4","","96","","0.0","","22","","11","","1.2","","96.79","","","","","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 16:00","2016","02","01","16:00","-0.9","","-1.3","","97","","0.0","","","","0","","0.4","","96.80","","","","","","Rain,Heavy Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 17:00","2016","02","01","17:00","-0.8","","-1.1","","98","","0.0","","15","","9","","0.4","","96.87","","","","-4","","Heavy Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 18:00","2016","02","01","18:00","0.1","","-0.3","","97","","0.0","","17","","8","","14.5","","96.90","","","","","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 19:00","2016","02","01","19:00","-0.3","","-0.7","","97","","0.0","","","","0","","12.9","","96.88","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 20:00","2016","02","01","20:00","-1.6","","-1.9","","98","","0.0","","17","","5","","14.5","","96.90","","","","-3","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 21:00","2016","02","01","21:00","-0.5","","-1.0","","96","","0.0","","","M","4","","16.1","","96.90","","","","-2","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 22:00","2016","02","01","22:00","0.1","","-1.4","","90","","0.0","","16","","15","","16.1","","96.93","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-01 23:00","2016","02","01","23:00","-0.2","","-2.0","","88","","0.0","","15","","15","","16.1","","96.94","","","","-5","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 00:00","2016","02","02","00:00","-0.4","","-2.2","","88","","0.0","","17","","11","","16.1","","96.96","","","","-4","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 01:00","2016","02","02","01:00","-0.8","","-2.7","","87","","0.0","","16","","9","","16.1","","97.00","","","","-4","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 02:00","2016","02","02","02:00","-0.6","","-2.5","","87","","0.0","","","M","5","","16.1","","97.03","","","","-2","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 03:00","2016","02","02","03:00","-1.1","","-2.7","","89","","0.0","","16","","9","","16.1","","97.04","","","","-4","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 04:00","2016","02","02","04:00","-1.7","","-3.2","","90","","0.0","","17","","8","","16.1","","97.06","","","","-5","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 05:00","2016","02","02","05:00","-1.7","","-3.4","","88","","0.0","","17","","11","","16.1","","97.10","","","","-6","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 06:00","2016","02","02","06:00","-2.3","","-4.0","","88","","0.0","","17","","9","","16.1","","97.13","","","","-6","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 07:00","2016","02","02","07:00","-4.1","","-5.8","","88","","0.0","","17","","5","","16.1","","97.16","","","","-6","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 08:00","2016","02","02","08:00","-4.5","","-5.6","","92","","0.0","","20","","5","","16.1","","97.20","","","","-7","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 09:00","2016","02","02","09:00","-5.1","","-5.8","","95","","0.0","","","","0","","16.1","","97.22","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 10:00","2016","02","02","10:00","-4.6","","-6.3","","88","","0.0","","15","","5","","16.1","","97.24","","","","-7","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 11:00","2016","02","02","11:00","-3.9","","-5.9","","86","","0.0","","18","","4","","16.1","","97.25","","","","-6","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 12:00","2016","02","02","12:00","-2.0","","-5.5","","77","","0.0","","17","","5","","16.1","","97.24","","","","-4","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 13:00","2016","02","02","13:00","-1.0","","-5.1","","74","","0.0","","18","","4","","16.1","","97.20","","","","-2","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 14:00","2016","02","02","14:00","-0.9","","-4.8","","75","","0.0","","15","","4","","16.1","","97.19","","","","-2","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 15:00","2016","02","02","15:00","-0.3","","-5.1","","70","","0.0","","16","","4","","16.1","","97.20","","","","-2","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 16:00","2016","02","02","16:00","-0.6","","-5.3","","71","","0.0","","","","0","","16.1","","97.21","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 17:00","2016","02","02","17:00","-4.3","","-5.6","","91","","0.0","","1","","8","","16.1","","97.23","","","","-8","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 18:00","2016","02","02","18:00","-4.6","","-5.4","","94","","0.0","","5","","5","","16.1","","97.25","","","","-7","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 19:00","2016","02","02","19:00","-9.1","","-9.8","","95","","0.0","","2","","4","","9.7","","97.28","","","","-11","","Fog"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 20:00","2016","02","02","20:00","-9.0","","-9.8","","94","","0.0","","4","","4","","12.9","","97.30","","","","-11","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 21:00","2016","02","02","21:00","-9.1","","-9.8","","95","","0.0","","","M","4","","14.5","","97.31","","","","-11","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 22:00","2016","02","02","22:00","-11.2","","-12.4","","91","","0.0","","","M","4","","9.7","","97.33","","","","-14","","Fog"
"-119.38","49.96","KELOWNA","1123939","2016-02-02 23:00","2016","02","02","23:00","-12.4","","-13.9","","89","","0.0","","33","","5","","16.1","","97.36","","","","-16","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 00:00","2016","02","03","00:00","-12.5","","-14.1","","88","","0.0","","","M","4","","16.1","","97.38","","","","-15","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 01:00","2016","02","03","01:00","-12.0","","-13.1","","92","","0.0","","4","","4","","16.1","","97.41","","","","-15","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 02:00","2016","02","03","02:00","-11.3","","-12.4","","92","","0.0","","6","","5","","16.1","","97.41","","","","-14","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 03:00","2016","02","03","03:00","-8.7","","-9.6","","93","","0.0","","","","0","","16.1","","97.41","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 04:00","2016","02","03","04:00","-8.8","","-9.9","","92","","0.0","","","M","4","","16.1","","97.40","","","","-11","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 05:00","2016","02","03","05:00","-8.4","","-9.2","","94","","0.0","","8","","8","","16.1","","97.38","","","","-13","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 06:00","2016","02","03","06:00","-11.6","","-13.0","","89","","0.0","","4","","4","","16.1","","97.35","","","","-14","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 07:00","2016","02","03","07:00","-9.0","","-10.1","","92","","0.0","","","","0","","16.1","","97.39","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 08:00","2016","02","03","08:00","-8.6","","-9.5","","93","","0.0","","","M","4","","16.1","","97.37","","","","-11","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 09:00","2016","02","03","09:00","-5.8","","-6.5","","95","","0.0","","","","0","","16.1","","97.34","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 10:00","2016","02","03","10:00","-3.4","","-5.3","","87","","0.0","","15","","11","","16.1","","97.32","","","","-8","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 11:00","2016","02","03","11:00","-2.9","","-5.2","","84","","0.0","","15","","8","","16.1","","97.25","","","","-6","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 12:00","2016","02","03","12:00","-2.4","","-5.4","","80","","0.0","","15","","11","","16.1","","97.20","","","","-6","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 13:00","2016","02","03","13:00","-1.9","","-5.6","","76","","0.0","","18","","8","","16.1","","97.15","","","","-5","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 14:00","2016","02","03","14:00","-1.8","","-5.5","","76","","0.0","","18","","5","","16.1","","97.10","","","","-4","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 15:00","2016","02","03","15:00","-1.5","","-4.8","","78","","0.0","","20","","9","","16.1","","97.05","","","","-5","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 16:00","2016","02","03","16:00","-2.2","","-3.8","","89","","0.0","","18","","5","","4.8","","97.00","","","","-4","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 17:00","2016","02","03","17:00","-2.5","","-3.2","","95","","0.0","","","","0","","1.6","","96.96","","","","","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 18:00","2016","02","03","18:00","-2.5","","-3.1","","96","","0.0","","13","","4","","2.8","","96.87","","","","-4","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 19:00","2016","02","03","19:00","-2.5","","-3.1","","96","","0.0","","","","0","","2.8","","96.80","","","","","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 20:00","2016","02","03","20:00","-2.7","","-3.1","","97","","0.0","","6","","4","","2.8","","96.73","","","","-4","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 21:00","2016","02","03","21:00","-2.3","","-2.7","","97","","0.0","","11","","4","","1.2","","96.71","","","","-4","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 22:00","2016","02","03","22:00","-2.4","","-2.8","","97","","0.0","","","","0","","1.6","","96.69","","","","","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-03 23:00","2016","02","03","23:00","-2.2","","-2.6","","97","","0.0","","","","0","","2.0","","96.69","","","","","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-04 00:00","2016","02","04","00:00","-2.2","","-2.6","","97","","0.0","","","M","4","","4.8","","96.69","","","","-4","","Fog"
"-119.38","49.96","KELOWNA","1123939","2016-02-04 01:00","2016","02","04","01:00","-2.4","","-2.8","","97","","0.0","","","M","4","","4.8","","96.72","","","","-4","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-04 02:00","2016","02","04","02:00","-2.5","","-2.9","","97","","0.0","","","","0","","4.8","","96.72","","","","","","Snow"
"-119.38","49.96","KELOWNA","1123939","2016-02-04 03:00","2016","02","04","03:00","-2.3","","-2.7","","97","","0.0","","","","0","","6.4","","96.76","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2016-02-04 04:00","2016","02","04","04:00","-2.5","","-2.9","","97","","0.0","","18","","5","","8.1","","96.82","","","","-4","","Fog"
"-119.38","49.96","KELOWNA","1123939","2016-02-04 05:00","2016","02","04","05:00","-1.3","","-1.9","","96","","0.0","","","M","4","","16.1","","96.89","","","","-3","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-04 06:00","2016","02","04","06:00","0.9","","-1.5","","84","","0.0","","15","","13","","16.1","","96.96","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-04 07:00","2016","02","04","07:00","-0.8","","-1.8","","93","","0.0","","21","","11","","16.1","","97.02","","","","-5","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-02-04 08:00","2016","02","04","08:00","-2.2","","-3.0","","94","","0.0","","20","","8","","16.1","","97.09","","","","-5","","NA"
