"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 00:00","2021","03","01","00:00","1.6","","-0.4","","87","","0.0","","","M","4","","16.1","","96.78","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 01:00","2021","03","01","01:00","1.1","","-0.9","","87","","0.0","","36","","5","","16.1","","96.76","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 02:00","2021","03","01","02:00","-0.9","","-1.9","","93","","0.0","","34","","8","","16.1","","96.77","","","","-4","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 03:00","2021","03","01","03:00","-1.7","","-2.3","","96","","0.0","","1","","8","","16.1","","96.75","","","","-5","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 04:00","2021","03","01","04:00","-1.7","","-2.1","","97","","0.0","","2","","4","","16.1","","96.70","","","","-3","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 05:00","2021","03","01","05:00","-1.4","","-2.0","","96","","0.0","","","M","4","","16.1","","96.71","","","","-3","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 06:00","2021","03","01","06:00","-2.4","","-3.1","","95","","0.0","","","","0","","16.1","","96.73","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 07:00","2021","03","01","07:00","-2.9","","-3.2","","98","","0.0","","","M","4","","16.1","","96.71","","","","-4","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 08:00","2021","03","01","08:00","-0.4","","-1.1","","95","","0.0","","","M","4","","16.1","","96.72","","","","-2","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 09:00","2021","03","01","09:00","2.1","","0.8","","91","","0.0","","","M","4","","16.1","","96.72","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 10:00","2021","03","01","10:00","5.5","","1.2","","74","","0.0","","","M","4","","16.1","","96.70","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 11:00","2021","03","01","11:00","7.3","","0.3","","61","","0.0","","","M","4","","16.1","","96.65","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 12:00","2021","03","01","12:00","8.6","","0.4","","56","","0.0","","16","","8","","16.1","","96.56","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 13:00","2021","03","01","13:00","9.8","","0.6","","52","","0.0","","16","","9","","16.1","","96.48","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 14:00","2021","03","01","14:00","10.1","","0.5","","51","","0.0","","15","","5","","16.1","","96.37","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 15:00","2021","03","01","15:00","10.8","","0.8","","50","","0.0","","17","","9","","16.1","","96.34","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 16:00","2021","03","01","16:00","10.8","","0.5","","49","","0.0","","17","","9","","16.1","","96.34","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 17:00","2021","03","01","17:00","10.3","","0.2","","50","","0.0","","17","","8","","16.1","","96.29","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 18:00","2021","03","01","18:00","7.9","","0.3","","59","","0.0","","15","","9","","16.1","","96.26","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 19:00","2021","03","01","19:00","7.1","","0.8","","64","","0.0","","20","","8","","16.1","","96.36","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 20:00","2021","03","01","20:00","7.6","","0.6","","61","","0.0","","15","","13","","16.1","","96.39","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 21:00","2021","03","01","21:00","2.4","","-1.0","","78","","0.0","","9","","9","","16.1","","96.41","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2021-03-01 22:00","2021","03","01","22:00","2.9","","-0.6","","78","","0.0","","","M","5","","16.1","","96.46","","","","","","NA"
