"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 00:00","2022","02","01","00:00","-3.5","","-4.4","","93","","0.0","","18","","5","","16.1","","97.07","","","","-6","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 01:00","2022","02","01","01:00","-2.6","","-4.0","","90","","0.0","","16","","8","","16.1","","97.07","","","","-6","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 02:00","2022","02","01","02:00","-1.7","","-3.7","","86","","0.0","","","M","5","","16.1","","97.05","","","","-4","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 03:00","2022","02","01","03:00","-3.0","","-4.3","","91","","0.0","","","M","8","","16.1","","97.03","","","","-6","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 04:00","2022","02","01","04:00","-4.8","","-6.6","","87","","0.0","","","","0","","16.1","","97.06","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 05:00","2022","02","01","05:00","-4.3","","-5.3","","93","","0.0","","9","","5","","16.1","","97.07","","","","-6","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 06:00","2022","02","01","06:00","-3.2","","-4.3","","92","","0.0","","9","","5","","16.1","","97.09","","","","-5","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 07:00","2022","02","01","07:00","-3.8","","-5.1","","91","","0.0","","","M","4","","16.1","","97.12","","","","-5","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 08:00","2022","02","01","08:00","-3.8","","-5.1","","91","","0.0","","4","","5","","16.1","","97.17","","","","-6","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 09:00","2022","02","01","09:00","-3.7","","-5.5","","88","","0.0","","","","0","","16.1","","97.18","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 10:00","2022","02","01","10:00","-2.6","","-4.8","","85","","0.0","","","","0","","16.1","","97.18","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 11:00","2022","02","01","11:00","-0.9","","-3.8","","81","","0.0","","18","","5","","16.1","","97.16","","","","-3","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 12:00","2022","02","01","12:00","0.7","","-4.2","","70","","0.0","","","M","4","","16.1","","97.14","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 13:00","2022","02","01","13:00","0.7","","-5.4","","64","","0.0","","1","","17","","16.1","","97.15","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 14:00","2022","02","01","14:00","1.6","","-10.6","","40","","0.0","","34","","35","","16.1","","97.18","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 15:00","2022","02","01","15:00","1.5","","-11.1","","39","","0.0","","34","","22","","16.1","","97.22","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 16:00","2022","02","01","16:00","0.8","","-14.0","","33","","0.0","","1","","30","","16.1","","97.27","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 17:00","2022","02","01","17:00","-0.4","","-12.6","","39","","0.0","","33","","17","","16.1","","97.29","","","","-5","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 18:00","2022","02","01","18:00","-1.0","","-14.7","","35","","0.0","","34","","22","","16.1","","97.36","","","","-7","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 19:00","2022","02","01","19:00","-4.2","","-13.7","","48","","0.0","","34","","11","","16.1","","97.47","","","","-9","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-02-01 20:00","2022","02","01","20:00","-3.3","","-15.6","","39","","0.0","","33","","11","","16.1","","97.54","","","","-8","","NA"
