"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 00:00","2016","04","01","00:00","4.3","","1.6","","82","","0.0","","5","","5","","16.1","","96.89","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 01:00","2016","04","01","01:00","4.4","","1.6","","82","","0.0","","5","","9","","16.1","","96.92","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 02:00","2016","04","01","02:00","3.9","","1.7","","85","","0.0","","2","","5","","16.1","","96.95","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 03:00","2016","04","01","03:00","1.4","","0.1","","91","","0.0","","3","","5","","16.1","","96.96","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 04:00","2016","04","01","04:00","1.4","","-0.5","","87","","0.0","","","M","4","","16.1","","97.00","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 05:00","2016","04","01","05:00","1.3","","0.1","","92","","0.0","","36","","4","","16.1","","97.03","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 06:00","2016","04","01","06:00","1.5","","0.2","","91","","0.0","","36","","8","","16.1","","97.07","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 07:00","2016","04","01","07:00","4.3","","2.5","","88","","0.0","","1","","4","","16.1","","97.12","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 08:00","2016","04","01","08:00","8.7","","3.9","","72","","0.0","","35","","8","","16.1","","97.14","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 09:00","2016","04","01","09:00","11.0","","2.4","","55","","0.0","","","M","4","","16.1","","97.10","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 10:00","2016","04","01","10:00","13.1","","3.6","","52","","0.0","","","M","4","","16.1","","97.06","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 11:00","2016","04","01","11:00","15.3","","2.9","","43","","0.0","","","M","9","","16.1","","97.00","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 12:00","2016","04","01","12:00","16.6","","3.2","","40","","0.0","","","","0","","16.1","","96.92","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 13:00","2016","04","01","13:00","18.5","","3.1","","36","","0.0","","18","","8","","16.1","","96.85","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 14:00","2016","04","01","14:00","19.9","","3.6","","34","","0.0","","17","","9","","16.1","","96.78","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 15:00","2016","04","01","15:00","21.1","","3.3","","31","","0.0","","20","","8","","16.1","","96.71","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 16:00","2016","04","01","16:00","21.2","","3.6","","31","","0.0","","19","","8","","16.1","","96.65","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 17:00","2016","04","01","17:00","20.6","","5.3","","36","","0.0","","19","","8","","16.1","","96.59","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 18:00","2016","04","01","18:00","18.4","","6.0","","44","","0.0","","21","","8","","9.7","","96.56","","","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 19:00","2016","04","01","19:00","12.5","","6.2","","65","","0.0","","","M","4","","16.1","","96.57","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 20:00","2016","04","01","20:00","10.5","","4.7","","67","","0.0","","5","","5","","16.1","","96.60","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 21:00","2016","04","01","21:00","10.5","","4.4","","66","","0.0","","","","0","","16.1","","96.62","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 22:00","2016","04","01","22:00","9.4","","3.7","","67","","0.0","","","M","4","","16.1","","96.65","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-01 23:00","2016","04","01","23:00","9.5","","3.3","","65","","0.0","","","M","4","","16.1","","96.67","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2016-04-02 00:00","2016","04","02","00:00","7.5","","2.5","","71","","0.0","","","M","4","","16.1","","96.65","","","","","","NA"
