"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.38","49.96","KELOWNA","1123939","2022-10-01 00:00","2022","10","01","00:00","10.5","","8.7","","89","","0.0","","5","","5","","16.1","","96.99","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-10-01 01:00","2022","10","01","01:00","9.7","","8.8","","94","","0.0","","3","","8","","16.1","","97.01","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-10-01 02:00","2022","10","01","02:00","8.6","","8.0","","96","","0.0","","","M","4","","16.1","","97.05","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-10-01 03:00","2022","10","01","03:00","9.4","","8.5","","94","","0.0","","5","","5","","16.1","","97.05","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-10-01 04:00","2022","10","01","04:00","8.5","","7.9","","96","","0.0","","36","","4","","16.1","","97.07","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-10-01 05:00","2022","10","01","05:00","8.1","","7.7","","97","","0.0","","5","","4","","16.1","","97.10","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-10-01 06:00","2022","10","01","06:00","7.2","","6.9","","98","","0.0","","2","","5","","14.5","","97.13","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-10-01 07:00","2022","10","01","07:00","7.9","","7.3","","96","","0.0","","5","","4","","16.1","","97.15","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-10-01 08:00","2022","10","01","08:00","13.3","","9.8","","79","","0.0","","","","0","","16.1","","97.15","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2022-10-01 09:00","2022","10","01","09:00","16.6","","10.7","","68","","0.0","","36","","9","","16.1","","97.13","","","","","","NA"
