"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.38","49.96","KELOWNA","1123939","2019-02-01 00:00","2019","02","01","00:00","0.3","","-2.4","","82","","0.0","","13","","18","","16.1","","95.64","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-02-01 01:00","2019","02","01","01:00","0.4","","-2.2","","83","","0.0","","14","","15","","16.1","","95.63","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-02-01 02:00","2019","02","01","02:00","0.4","","-2.2","","83","","0.0","","13","","15","","16.1","","95.65","","","","","","Rain"
"-119.38","49.96","KELOWNA","1123939","2019-02-01 03:00","2019","02","01","03:00","0.5","","-2.2","","82","","0.0","","16","","13","","16.1","","95.58","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-02-01 04:00","2019","02","01","04:00","0.1","","-2.3","","84","","0.0","","14","","15","","16.1","","95.55","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-02-01 05:00","2019","02","01","05:00","0.3","","-2.3","","83","","0.0","","13","","13","","16.1","","95.48","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-02-01 06:00","2019","02","01","06:00","0.2","","-2.4","","83","","0.0","","15","","13","","16.1","","95.43","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-02-01 07:00","2019","02","01","07:00","0.0","","-2.3","","85","","0.0","","13","","9","","16.1","","95.40","","","","-3","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-02-01 08:00","2019","02","01","08:00","0.3","","-2.2","","83","","0.0","","14","","9","","16.1","","95.39","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2019-02-01 09:00","2019","02","01","09:00","1.1","","-1.8","","81","","0.0","","13","","13","","16.1","","95.38","","","","","","NA"
