"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 00:00","2021","08","01","00:00","22.7","","13.5","","56","","0.0","","","M","4","","2.0","","96.53","","26","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 01:00","2021","08","01","01:00","20.1","","13.6","","66","","0.0","","4","","5","","2.0","","96.54","","","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 02:00","2021","08","01","02:00","21.5","","12.8","","57","","0.0","","1","","5","","2.4","","96.52","","","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 03:00","2021","08","01","03:00","22.2","","13.8","","58","","0.0","","4","","9","","2.4","","96.52","","25","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 04:00","2021","08","01","04:00","21.1","","12.1","","56","","0.0","","","M","4","","2.4","","96.55","","","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 05:00","2021","08","01","05:00","20.5","","13.7","","65","","0.0","","","","0","","2.4","","96.61","","","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 06:00","2021","08","01","06:00","22.1","","13.1","","56","","0.0","","2","","5","","2.4","","96.62","","25","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 07:00","2021","08","01","07:00","20.7","","16.0","","74","","0.0","","35","","4","","2.4","","96.64","","25","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 08:00","2021","08","01","08:00","22.2","","15.2","","64","","0.0","","","M","4","","2.4","","96.69","","26","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 09:00","2021","08","01","09:00","22.6","","15.0","","62","","0.0","","4","","5","","2.0","","96.68","","27","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 10:00","2021","08","01","10:00","23.1","","15.5","","62","","0.0","","5","","5","","2.0","","96.69","","27","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 11:00","2021","08","01","11:00","23.5","","14.8","","58","","0.0","","3","","5","","2.0","","96.71","","27","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 12:00","2021","08","01","12:00","23.3","","17.0","","67","","0.0","","","M","4","","2.0","","96.78","","29","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 13:00","2021","08","01","13:00","22.6","","16.8","","69","","0.0","","6","","4","","2.0","","96.83","","28","","","","Rain"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 14:00","2021","08","01","14:00","21.2","","18.2","","83","","0.5","","19","","8","","1.6","","96.91","","27","","","","Rain"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 15:00","2021","08","01","15:00","20.5","","18.4","","88","","1.8","","","M","5","","1.6","","96.95","","27","","","","Rain,Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 16:00","2021","08","01","16:00","21.3","","18.4","","83","","0.0","","","","0","","2.0","","96.92","","28","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 17:00","2021","08","01","17:00","20.8","","19.2","","90","","0.0","","1","","8","","1.6","","96.91","","28","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 18:00","2021","08","01","18:00","20.6","","18.9","","90","","0.0","","1","","8","","1.6","","96.89","","27","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 19:00","2021","08","01","19:00","20.4","","18.7","","90","","0.0","","36","","5","","1.6","","96.88","","27","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 20:00","2021","08","01","20:00","20.3","","18.6","","90","","0.0","","4","","5","","1.6","","96.88","","27","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 21:00","2021","08","01","21:00","19.9","","18.6","","92","","0.0","","","M","4","","1.6","","96.91","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 22:00","2021","08","01","22:00","20.1","","18.4","","90","","0.0","","","","0","","1.6","","96.91","","26","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-01 23:00","2021","08","01","23:00","19.6","","18.5","","93","","0.0","","","","0","","1.6","","96.91","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 00:00","2021","08","02","00:00","19.4","","18.4","","94","","0.0","","6","","5","","1.2","","96.89","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 01:00","2021","08","02","01:00","19.6","","18.1","","91","","0.0","","3","","5","","1.6","","96.88","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 02:00","2021","08","02","02:00","19.3","","17.8","","91","","0.0","","","M","4","","1.6","","96.89","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 03:00","2021","08","02","03:00","19.6","","17.5","","88","","0.0","","","","0","","1.6","","96.90","","","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 04:00","2021","08","02","04:00","18.8","","17.7","","93","","0.0","","8","","5","","1.6","","96.90","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 05:00","2021","08","02","05:00","18.5","","17.7","","95","","0.0","","7","","4","","1.2","","96.94","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 06:00","2021","08","02","06:00","18.7","","17.8","","94","","0.0","","5","","4","","1.2","","96.99","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 07:00","2021","08","02","07:00","19.6","","18.5","","93","","0.0","","","","0","","1.2","","96.99","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 08:00","2021","08","02","08:00","20.3","","17.9","","86","","0.0","","","M","4","","1.2","","97.00","","26","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 09:00","2021","08","02","09:00","21.9","","18.3","","80","","0.0","","","M","5","","1.2","","96.96","","28","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 10:00","2021","08","02","10:00","23.3","","18.0","","72","","0.0","","1","","5","","1.2","","96.93","","29","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 11:00","2021","08","02","11:00","24.8","","17.9","","65","","0.0","","36","","11","","1.2","","96.89","","31","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 12:00","2021","08","02","12:00","26.4","","18.0","","60","","0.0","","34","","28","","1.2","","96.83","","32","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 13:00","2021","08","02","13:00","26.6","","17.7","","58","","0.0","","34","","32","","1.6","","96.79","","32","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 14:00","2021","08","02","14:00","28.3","","17.1","","50","","0.0","","34","","34","","1.6","","96.74","","34","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 15:00","2021","08","02","15:00","29.0","","17.3","","49","","0.0","","34","","34","","1.6","","96.68","","34","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 16:00","2021","08","02","16:00","28.7","","17.3","","50","","0.0","","35","","35","","1.6","","96.64","","34","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 17:00","2021","08","02","17:00","28.5","","17.3","","50","","0.0","","34","","32","","1.6","","96.62","","34","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 18:00","2021","08","02","18:00","27.5","","17.5","","54","","0.0","","35","","26","","1.2","","96.61","","33","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 19:00","2021","08","02","19:00","26.0","","18.0","","61","","0.0","","2","","9","","1.2","","96.65","","32","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 20:00","2021","08","02","20:00","23.3","","17.8","","71","","0.0","","","","0","","1.2","","96.69","","29","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 21:00","2021","08","02","21:00","20.6","","17.5","","82","","0.0","","7","","5","","1.6","","96.74","","26","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 22:00","2021","08","02","22:00","19.2","","16.8","","86","","0.0","","4","","4","","1.6","","96.75","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-02 23:00","2021","08","02","23:00","18.8","","16.6","","87","","0.0","","2","","4","","1.6","","96.75","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-03 00:00","2021","08","03","00:00","17.0","","15.2","","89","","0.0","","6","","4","","2.0","","96.79","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-03 01:00","2021","08","03","01:00","16.5","","15.4","","93","","0.0","","36","","4","","2.0","","96.79","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-03 02:00","2021","08","03","02:00","16.8","","15.5","","92","","0.0","","4","","5","","2.0","","96.81","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-03 03:00","2021","08","03","03:00","15.9","","14.2","","90","","0.0","","9","","8","","2.4","","96.83","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-03 04:00","2021","08","03","04:00","14.0","","12.5","","91","","0.0","","3","","5","","2.4","","96.86","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-03 05:00","2021","08","03","05:00","13.4","","11.9","","91","","0.0","","","M","4","","2.8","","96.90","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-03 06:00","2021","08","03","06:00","16.3","","13.6","","84","","0.0","","6","","4","","3.2","","96.93","","","","","","Fog"
"-119.38","49.96","KELOWNA","1123939","2021-08-03 07:00","2021","08","03","07:00","18.9","","14.1","","74","","0.0","","29","","4","","3.2","","96.95","","","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-03 08:00","2021","08","03","08:00","20.6","","16.1","","75","","0.0","","","M","4","","2.0","","96.93","","25","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-03 09:00","2021","08","03","09:00","23.2","","15.9","","63","","0.0","","10","","5","","1.6","","96.87","","28","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-03 10:00","2021","08","03","10:00","25.6","","17.8","","62","","0.0","","32","","8","","1.2","","96.78","","31","","","","Haze"
"-119.38","49.96","KELOWNA","1123939","2021-08-03 11:00","2021","08","03","11:00","28.1","","17.0","","50","","0.0","","36","","5","","1.2","","96.71","","33","","","","Haze"
